sweep_order,step_index,blocked_layers,num_blocked_layers,n_seeds,mean_exact_answer_accuracy,ci95_low_bootstrap_percentile,ci95_high_bootstrap_percentile
forward,0,,0,1,0.9989229940764675,0.9989229940764675,0.9989229940764675
forward,1,0,1,1,0.9989229940764675,0.9989229940764675,0.9989229940764675
forward,2,"0,1",2,1,0.6445880452342488,0.6445880452342488,0.6445880452342488
forward,3,"0,1,2",3,1,0.4243403338718363,0.4243403338718363,0.4243403338718363
forward,4,"0,1,2,3",4,1,0.3726440495422725,0.3726440495422725,0.3726440495422725
forward,5,"0,1,2,3,4",5,1,0.31879375336564353,0.31879375336564353,0.31879375336564353
reverse,0,,0,1,0.9989229940764675,0.9989229940764675,0.9989229940764675
reverse,1,4,1,1,0.9989229940764675,0.9989229940764675,0.9989229940764675
reverse,2,"3,4",2,1,0.9989229940764675,0.9989229940764675,0.9989229940764675
reverse,3,"2,3,4",3,1,0.8659127625201939,0.8659127625201939,0.8659127625201939
reverse,4,"1,2,3,4",4,1,0.3516424340333872,0.3516424340333872,0.3516424340333872
reverse,5,"0,1,2,3,4",5,1,0.31879375336564353,0.31879375336564353,0.31879375336564353
