condition,metric,n_seeds,mean,ci95_low_bootstrap_percentile,ci95_high_bootstrap_percentile
clean,source_exact_rate,3,0.9985088323009865,0.9955264969029592,1.0
clean,donor_exact_rate,3,0.0,0.0,0.0
clean,source_o0_rate,3,0.9998852947923836,0.9996558843771507,1.0
clean,source_o1_rate,3,0.9985088323009865,0.9955264969029592,1.0
clean,donor_o0_rate,3,0.7918124932301835,0.7023712183156173,0.8819444444444443
clean,donor_o1_rate,3,0.024987155602542638,0.012983091787439614,0.0339329517579722
l1_only,source_exact_rate,3,0.2511411403874472,0.13575361321403992,0.45175797219950936
l1_only,donor_exact_rate,3,0.6762628931456187,0.4272281275551921,0.8112525808671713
l1_only,source_o0_rate,3,0.8830384127791122,0.8601798855273918,0.9245169082125604
l1_only,source_o1_rate,3,0.27010644771016074,0.155712319339298,0.47812755519215044
l1_only,donor_o0_rate,3,0.8951397839210355,0.8137775960752248,0.9519927536231884
l1_only,donor_o1_rate,3,0.6966874141134217,0.45993458708094853,0.830006882312457
l0_plus_l2plus,source_exact_rate,3,0.6762628931456187,0.4272281275551921,0.8112525808671713
l0_plus_l2plus,donor_exact_rate,3,0.2511411403874472,0.13575361321403992,0.45175797219950936
l0_plus_l2plus,source_o0_rate,3,0.8951397839210355,0.8137775960752248,0.9519927536231884
l0_plus_l2plus,source_o1_rate,3,0.6966874141134217,0.45993458708094853,0.830006882312457
l0_plus_l2plus,donor_o0_rate,3,0.8830384127791122,0.8601798855273918,0.9245169082125604
l0_plus_l2plus,donor_o1_rate,3,0.27010644771016074,0.155712319339298,0.47812755519215044
