source,destination,keep_max_layer,destination_max_layer,max_exact_drop,through,retained
B_ones,O[0],2,9,0.17346877653663242,INTERSECTION,1
B_ones,O[1],3,9,0.3585731146256717,INTERSECTION,1
B_tag,B_ones,0,2,0.34273993112791395,INTERSECTION,1
B_tag,B_tens,0,0,0.2010540076377382,INTERSECTION,1
B_tens,B_ones,0,2,0.23849750028929362,INTERSECTION,1
D_ones,O[0],7,9,0.19644858557481656,INTERSECTION,1
D_ones,O[1],3,9,0.4609290988438326,INTERSECTION,1
D_tag,D_ones,0,3,0.43465015026526616,INTERSECTION,1
N_hundreds,O[0],5,9,0.16470515411150136,INTERSECTION,1
N_hundreds,O[1],6,9,0.2466174202319671,INTERSECTION,1
N_ones,O[0],8,9,0.04925623794973003,INTERSECTION,1
N_ones,O[1],8,9,0.2557409569061568,INTERSECTION,1
N_tag,N_hundreds,0,5,0.34314898188630677,INTERSECTION,1
N_tag,N_tens,0,6,0.14636579665374647,INTERSECTION,1
N_tens,O[0],6,9,0.1408620385837452,INTERSECTION,1
N_tens,O[1],7,9,0.24799275936336615,INTERSECTION,1
O[0],O[1],9,9,0.0942524113815082,INTERSECTION,1
