checkpoint,seed,destination,required_max_layer,required_layers
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,N_tag,6,L0-L6
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,N_hundreds,6,L0-L6
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,N_tens,7,L0-L7
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,N_ones,9,L0-L9
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,B_tag,0,L0-L0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,B_tens,0,L0-L0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,B_ones,4,L0-L4
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,D_tag,0,L0-L0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,D_ones,8,L0-L8
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,O[0],9,L0-L9
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,O[1],9,L0-L9
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,N_tag,0,L0-L0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,N_hundreds,6,L0-L6
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,N_tens,8,L0-L8
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,N_ones,9,L0-L9
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,B_tag,0,L0-L0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,B_tens,5,L0-L5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,B_ones,3,L0-L3
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,D_tag,0,L0-L0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,D_ones,7,L0-L7
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,O[0],9,L0-L9
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,O[1],9,L0-L9
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,N_tag,0,L0-L0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,N_hundreds,6,L0-L6
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,N_tens,8,L0-L8
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,N_ones,8,L0-L8
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,B_tag,0,L0-L0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,B_tens,4,L0-L4
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,B_ones,6,L0-L6
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,D_tag,0,L0-L0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,D_ones,8,L0-L8
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,O[0],9,L0-L9
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,O[1],9,L0-L9
